from,duration,preserve,exclude,want
2022-02-28,P1M,,true,2022-04-01T00:00:00,// 3/1から1M扱い
2024-01-29,P1M,,true,2024-03-01T00:00:00
2024-01-30,P1M,,true,2024-03-01T00:00:00
2024-01-31,P1M,,true,2024-03-01T00:00:00
2024-02-01,P1M,,true,2024-03-02T00:00:00
2024-03-01,P1M,,true,2024-04-02T00:00:00
// 1ヶ月 1日
2020-06-01,P1M1D,,true,2020-07-03T00:00:00
2020-08-31,P1M1D,,true,2020-10-02T00:00:00
2020-10-10,P1M1D,,true,2020-11-12T00:00:00
2020-12-01,P1M1D,,true,2021-01-03T00:00:00
2021-01-31,P1M1D,,true,2021-03-02T00:00:00
2021-02-28,P1M1D,,true,2021-04-02T00:00:00,// 3/1から1M1D扱い
2024-01-29,P1M1D,,true,2024-03-02T00:00:00
2024-01-30,P1M1D,,true,2024-03-02T00:00:00
2024-01-31,P1M1D,,true,2024-03-02T00:00:00
2024-02-01,P1M1D,,true,2024-03-03T00:00:00
2024-03-01,P1M1D,,true,2024-04-03T00:00:00
// 3ヶ月
2020-06-01,P3M,,true,2020-09-02T00:00:00
2020-08-31,P3M,,true,2020-12-01T00:00:00
2020-10-10,P3M,,true,2021-01-11T00:00:00
2020-12-01,P3M,,true,2021-03-02T00:00:00
2021-01-31,P3M,,true,2021-05-01T00:00:00
2021-02-28,P3M,,true,2021-06-01T00:00:00,// 3/1から3M扱い
// 6ヶ月
2020-06-01,P6M,,true,2020-12-02T00:00:00
2020-08-31,P6M,,true,2021-03-01T00:00:00
2020-10-10,P6M,,true,2021-04-11T00:00:00
2020-12-01,P6M,,true,2021-06-02T00:00:00
2021-01-31,P6M,,true,2021-08-01T00:00:00
2021-02-28,P6M,,true,2021-09-01T00:00:00
// 1週間
2021-02-28,P1W,,true,2021-03-08T00:00:00
// その他
2023-01-01,P2M,,true,2023-03-02T00:00:00,// 143条2項 (平年)
2024-01-01,P2M,,true,2024-03-02T00:00:00,// 143条2項 (閏年)
2024-01-20,P2M,,true,2024-03-21T00:00:00,// 143条2項
2024-01-31,P2M,,true,2024-04-01T00:00:00,// 143条2項
2023-01-31,P1M,,true,2023-03-01T00:00:00,// 143条2項ただし書 (平年)
2024-01-31,P1M,,true,2024-03-01T00:00:00,// 143条2項ただし書 (閏年)
2024-03-31,P1M,,true,2024-05-01T00:00:00,// 143条2項ただし書
2024-03-31,P1M,,true,2024-05-01T00:00:00,// 143条2項ただし書
2024-05-30T01:00:00,P1D,,true,2024-06-01T00:00:00
2024-05-30T01:00:00,P1M,,true,2024-07-01T00:00:00
2024-05-30T01:00:00,P1MT1H,,true,2024-06-30T02:00:00,// 6/1から1M1H
2023-01-29,P1M,,true,2023-03-01T00:00:00
2020-02-28,P1Y,,true,2021-03-01T00:00:00
2020-02-28T01:00:00,P1Y,,true,2021-03-01T00:00:00
2020-08-15,P1Y3M,,true,2021-11-16T00:00:00
2020-08-31,P1Y1M,,true,2021-10-01T00:00:00
2024-06-01T18:00:00,PT30H,,true,2024-06-03T00:00:00
2024-06-01,P2Y,,true,2026-06-02T00:00:00
// preserveTimeOnZero=trueかつ、PT0Sの場合は、excludeStartDateの設定に関わらず、時刻維持されること
2024-03-29T03:00:00,PT0S,,true,2024-03-30T00:00:00
2024-03-29T03:00:00,PT0S,true,true,2024-03-29T03:00:00
2024-03-29T03:00:00,PT0S,false,true,2024-03-30T00:00:00
